adshex,flight_id,latitude,longitude,altitude,speed,track,squawk,type,timestamp,name,other_names1,other_names2,n_number,serial_number,mfr_mdl_code,mfr,model,year_mfr,type_aircraft,agency
A9C265,72660d6,38.7833,-77.2274,8400,95,18,4414,,2015-08-17T22:55:54Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.72691,-118.082,7599,90,37,4415,,2015-08-17T22:55:44Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.7758,-77.2314,8400,92,35,4414,,2015-08-17T22:55:44Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A7A9D4,726bc89,33.89651,-117.197,17499,118,168,4773,PC12,2015-08-17T22:55:39Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9C265,72660d6,38.7713,-77.23579,8400,97,44,4414,,2015-08-17T22:55:35Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A9C265,72660d6,38.7632,-77.24979,8400,91,71,4414,,2015-08-17T22:55:14Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.71411,-118.11,7599,90,92,4415,,2015-08-17T22:55:06Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A7A9D4,726bc89,33.9211,-117.202,17500,122,168,4773,PC12,2015-08-17T22:55:05Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
AD4B3C,7265f06,33.7344,-118.144,7600,90,152,4415,,2015-08-17T22:54:09Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A9C265,72660d6,38.7772,-77.29929,8400,90,158,4414,,2015-08-17T22:54:09Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A7A9D4,726bc89,33.99541,-117.215,17500,137,174,4773,PC12,2015-08-17T22:53:50Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A68BD9,726c0c5,29.8581,-95.35589,2000,74,268,5323,,2015-08-17T22:53:18Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A7A9D4,726bc89,34.0449,-117.22299,17500,126,156,4773,PC12,2015-08-17T22:52:59Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9C265,72660d6,38.8072,-77.29549,8375,126,246,4414,,2015-08-17T22:52:53Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A9C265,72660d6,38.8096,-77.2932,8350,115,251,4414,,2015-08-17T22:52:47Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.78131,-118.13399,7600,82,219,4415,,2015-08-17T22:52:44Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
AD4B3C,7265f06,33.79,-118.12399,7600,78,240,4415,,2015-08-17T22:52:24Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A7A9D4,726bc89,34.0876,-117.237,17500,135,167,4773,PC12,2015-08-17T22:52:08Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A9C265,72660d6,38.8182,-77.25829,8325,110,311,4414,,2015-08-17T22:52:04Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A68BD9,726c0c5,29.856,-95.34259,2000,74,268,5323,,2015-08-17T22:51:58Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A9C265,72660d6,38.8129,-77.2434,8325,106,338,4414,,2015-08-17T22:51:38Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
AD4B3C,7265f06,33.78641,-118.088,7600,80,325,4415,,2015-08-17T22:51:29Z,NATIONAL AIRCRAFT LEASING CORP,,,956D,208B1056,2073701,CESSNA,208B,2004,4,fbi
A7A9D4,726bc89,34.13211,-117.247,17500,118,175,4773,PC12,2015-08-17T22:51:23Z,US DEPARTMENT OF HOMELAND SECURITY,US CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,593PC,593,7090551,PILATUS,PC-12/45,2004,4,dhs
A68BD9,726c0c5,29.85731,-95.3314,2649,79,257,5323,,2015-08-17T22:51:23Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
A9C265,72660d6,38.7914,-77.22629,8400,87,4,4414,,2015-08-17T22:51:15Z,NATIONAL AIRCRAFT LEASING CORP,,,728MP,T20608914,2073303,CESSNA,T206H,2009,4,fbi
A68BD9,726c0c5,29.8597,-95.3196,3000,66,259,5323,,2015-08-17T22:51:08Z,US DEPARTMENT OF HOMELAND SECURITY,U S CUSTOMS & BORDER PROTECTION,OFFICE OF AIR & MARINE,5204G,3089,8680950,EUROCOPTER,AS 350 B2,1998,6,dhs
