County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
"
RICHMOND",11/06/2018,09,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,571.0,0.0,0.0,0.0,571.0,Y
"
RICHMOND",11/06/2018,13,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,149.0,0.0,0.0,0.0,149.0,Y
"
RICHMOND",11/06/2018,11,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,151.0,0.0,0.0,0.0,151.0,Y
"
RICHMOND",11/06/2018,14,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,49.0,0.0,0.0,0.0,49.0,Y
"
RICHMOND",11/06/2018,02,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,414.0,0.0,0.0,0.0,414.0,Y
"
RICHMOND",11/06/2018,08,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,482.0,0.0,0.0,0.0,482.0,Y
"
RICHMOND",11/06/2018,05,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,58.0,0.0,0.0,0.0,58.0,Y
"
RICHMOND",11/06/2018,07,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,143.0,0.0,0.0,0.0,143.0,Y
"
RICHMOND",11/06/2018,04,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,193.0,0.0,0.0,0.0,193.0,Y
"
RICHMOND",11/06/2018,16,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,23.0,0.0,0.0,0.0,23.0,Y
"
RICHMOND",11/06/2018,ABSENTEE MAIL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,0.0,0.0,180.0,0.0,180.0,N
"
RICHMOND",11/06/2018,01,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Dan McCready,DEM,1.0,581.0,0.0,0.0,0.0,581.0,Y
"
RICHMOND",11/06/2018,PROVISIONAL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,0.0,0.0,0.0,9.0,9.0,N
"
RICHMOND",11/06/2018,05,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,5.0,0.0,0.0,0.0,5.0,Y
"
RICHMOND",11/06/2018,08,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,16.0,0.0,0.0,0.0,16.0,Y
"
RICHMOND",11/06/2018,16,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,4.0,0.0,0.0,0.0,4.0,Y
"
RICHMOND",11/06/2018,02,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,29.0,0.0,0.0,0.0,29.0,Y
"
RICHMOND",11/06/2018,11,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,3.0,0.0,0.0,0.0,3.0,Y
"
RICHMOND",11/06/2018,14,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,2.0,0.0,0.0,0.0,2.0,Y
"
RICHMOND",11/06/2018,ABSENTEE MAIL,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,0.0,0.0,8.0,0.0,8.0,N
"
RICHMOND",11/06/2018,10,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,9.0,0.0,0.0,0.0,9.0,Y
"
RICHMOND",11/06/2018,09,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,38.0,0.0,0.0,0.0,38.0,Y
"
RICHMOND",11/06/2018,06,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,10.0,0.0,0.0,0.0,10.0,Y
"
RICHMOND",11/06/2018,03,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,5.0,0.0,0.0,0.0,5.0,Y
"
RICHMOND",11/06/2018,13,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,4.0,0.0,0.0,0.0,4.0,Y
"
RICHMOND",11/06/2018,01,1183.0,S,US HOUSE OF REPRESENTATIVES DISTRICT 09,Jeff Scott,LIB,1.0,21.0,0.0,0.0,0.0,21.0,Y
